# Testes after switching shouldHit to !shouldHit
# victory rate = 47,30%
2089,14,17,WIN
2089,9,20,WIN
2089,18,11,LOSS
2089,4,9,WIN
2089,14,14,LOSS
2089,15,17,WIN
2089,17,18,WIN
2089,13,13,LOSS
2089,13,21,WIN
2089,10,17,WIN
2089,11,21,WIN
2089,17,19,WIN
2089,14,21,WIN
2089,20,20,LOSS
2089,10,5,LOSS
2089,10,16,WIN
2089,20,20,LOSS
2089,16,13,LOSS
2089,14,15,WIN
2089,20,20,LOSS
2089,16,16,LOSS
2089,6,18,WIN
2089,18,13,LOSS
2089,16,12,LOSS
2089,12,12,LOSS
2089,9,14,WIN
2089,10,19,WIN
2089,18,13,LOSS
2089,11,20,WIN
2089,20,18,LOSS
2089,9,13,WIN
2089,15,14,LOSS
2089,21,13,LOSS
2089,13,14,WIN
2089,14,17,WIN
2089,20,28,LOSS
2089,20,6,LOSS
2089,16,15,LOSS
2089,16,16,LOSS
2089,18,13,LOSS
2089,17,7,LOSS
2089,15,12,LOSS
2089,14,12,LOSS
2089,20,12,LOSS
2089,15,16,WIN
2089,13,12,LOSS
2089,14,13,LOSS
2089,16,15,LOSS
2089,12,19,WIN
2089,17,9,LOSS
2089,10,18,WIN
2089,15,18,WIN
2089,18,13,LOSS
2089,12,7,LOSS
2089,14,21,WIN
2089,16,20,WIN
2089,15,20,WIN
2089,13,15,WIN
2089,18,20,WIN
2089,15,18,WIN
2089,19,8,LOSS
2089,12,14,WIN
2133,10,21,WIN
2133,17,18,WIN
2133,21,19,LOSS
2133,21,16,LOSS
2133,20,16,LOSS
2133,5,8,WIN
2133,13,11,LOSS
2133,9,20,WIN
2133,10,12,WIN
2133,6,15,WIN
2133,6,16,WIN
2133,11,13,WIN
2133,18,14,LOSS
2133,14,18,WIN
2133,19,8,LOSS
2133,14,14,LOSS
2133,19,20,WIN
2133,16,28,LOSS
2133,20,17,LOSS
2133,9,9,LOSS
2133,16,20,WIN
2133,10,19,WIN
2133,20,20,LOSS
2133,13,17,WIN
2133,19,7,LOSS
2133,13,12,LOSS
2133,8,20,WIN
2133,20,20,LOSS
2133,16,17,WIN
2133,19,18,LOSS
2133,15,20,WIN
2133,7,16,WIN
2133,14,20,WIN
2133,12,17,WIN
2133,12,13,WIN
2133,20,13,LOSS
2133,16,15,LOSS
2133,12,13,WIN
2133,13,19,WIN
2133,19,13,LOSS
2133,19,12,LOSS
2133,11,20,WIN
2133,12,17,WIN
2133,14,16,WIN
2133,13,14,WIN
2133,16,5,LOSS
2133,20,13,LOSS
2133,20,11,LOSS
2133,16,12,LOSS
2133,17,8,LOSS
2133,16,11,LOSS
2133,14,16,WIN
2133,17,16,LOSS
2133,11,16,WIN
2133,15,20,WIN
2133,13,7,LOSS
2133,19,15,LOSS
2133,7,9,WIN
2133,10,14,WIN
2133,13,20,WIN
2133,15,12,LOSS
2133,20,13,LOSS
2133,12,18,WIN
2133,12,14,WIN
2133,14,20,WIN
2286,20,12,LOSS
2286,16,16,LOSS
2286,14,11,LOSS
2286,9,15,WIN
2286,20,12,LOSS
2286,16,21,WIN
2286,19,20,WIN
2286,18,15,LOSS
2286,6,11,WIN
2286,17,16,LOSS
2286,21,18,LOSS
2286,12,21,WIN
2286,15,9,LOSS
2286,15,14,LOSS
2286,15,16,WIN
2286,16,14,LOSS
2286,16,16,LOSS
2286,14,18,WIN
2286,20,20,LOSS
2286,16,7,LOSS
2286,12,8,LOSS
2286,6,20,WIN
2286,12,13,WIN
2286,6,19,WIN
2286,19,16,LOSS
2286,12,20,WIN
2286,14,18,WIN
2286,14,14,LOSS
2286,12,21,WIN
2286,13,16,WIN
2286,13,17,WIN
2286,20,14,LOSS
2286,9,13,WIN
2286,10,20,WIN
2286,14,18,WIN
2286,18,13,LOSS
2286,13,20,WIN
2286,6,13,WIN
2286,13,17,WIN
2286,18,20,WIN
2286,14,20,WIN
2286,12,16,WIN
2286,14,14,LOSS
2286,17,15,LOSS
2286,6,21,WIN
2286,19,9,LOSS
2286,17,12,LOSS
2286,9,14,WIN
2286,9,15,WIN
2286,13,20,WIN
2286,12,7,LOSS
2286,11,15,WIN
2286,11,15,WIN
2286,7,21,WIN
2286,12,17,WIN
2286,14,16,WIN
2286,9,19,WIN
2286,11,12,WIN
2286,19,16,LOSS
2286,15,17,WIN
2286,18,13,LOSS
2286,17,20,WIN
2286,14,16,WIN
2286,14,16,WIN
2286,6,15,WIN
1717,17,11,LOSS
1717,14,6,LOSS
1717,21,17,LOSS
1717,15,20,WIN
1717,15,17,WIN
1717,15,12,LOSS
1717,12,13,WIN
1717,19,14,LOSS
1717,17,18,WIN
1717,13,12,LOSS
1717,11,20,WIN
1717,20,14,LOSS
1717,16,19,WIN
1717,19,16,LOSS
1717,14,20,WIN
1717,13,7,LOSS
1717,7,12,WIN
1717,20,14,LOSS
1717,9,15,WIN
1717,13,18,WIN
1717,6,20,WIN
1717,20,23,LOSS
1717,12,19,WIN
1717,19,20,WIN
1717,16,19,WIN
1717,10,7,LOSS
1717,15,9,LOSS
1717,8,20,WIN
1717,12,18,WIN
1717,11,11,LOSS
1717,20,9,LOSS
1717,12,16,WIN
1717,7,15,WIN
1717,9,15,WIN
1717,17,14,LOSS
1717,13,15,WIN
1717,16,12,LOSS
1717,13,15,WIN
1717,15,16,WIN
1717,19,13,LOSS
1717,13,20,WIN
1717,19,20,WIN
1717,20,16,LOSS
1717,21,13,LOSS
1717,17,13,LOSS
1717,18,21,WIN
1717,7,18,WIN
1717,20,15,LOSS
1717,18,13,LOSS
1717,11,12,WIN
1717,18,20,WIN
1717,14,20,WIN
1717,12,15,WIN
1717,12,21,WIN
1717,5,18,WIN
1717,14,20,WIN
1717,11,13,WIN
1717,5,14,WIN
1717,14,9,LOSS
1717,20,13,LOSS
1717,13,20,WIN
1717,11,18,WIN
1717,15,11,LOSS
1717,19,11,LOSS
2474,15,18,WIN
2474,12,11,LOSS
2474,13,18,WIN
2474,12,14,WIN
2474,19,12,LOSS
2474,19,20,WIN
2474,14,14,LOSS
2474,16,16,LOSS
2474,15,21,WIN
2474,12,21,WIN
2474,8,13,WIN
2474,12,8,LOSS
2474,18,20,WIN
2474,7,17,WIN
2474,16,15,LOSS
2474,11,15,WIN
2474,17,11,LOSS
2474,20,12,LOSS
2474,15,20,WIN
2474,16,21,WIN
2474,13,7,LOSS
2474,19,14,LOSS
2474,20,18,LOSS
2474,13,16,WIN
2474,10,16,WIN
2474,20,12,LOSS
2474,18,11,LOSS
2474,10,15,WIN
2474,14,13,LOSS
2474,18,13,LOSS
2474,15,16,WIN
2474,14,11,LOSS
2474,20,14,LOSS
2474,8,12,WIN
2474,19,21,WIN
2474,19,9,LOSS
2474,13,19,WIN
2474,8,19,WIN
2474,16,12,LOSS
2474,14,18,WIN
2474,15,10,LOSS
2474,18,18,LOSS
2474,16,12,LOSS
2474,17,5,LOSS
2474,15,14,LOSS
2474,18,12,LOSS
2474,11,13,WIN
2474,11,13,WIN
2474,17,16,LOSS
2474,11,16,WIN
2474,9,11,WIN
2474,12,13,WIN
2474,8,9,WIN
2474,15,12,LOSS
2474,20,19,LOSS
2474,15,14,LOSS
2474,21,12,LOSS
2474,16,13,LOSS
2474,16,13,LOSS
2474,20,19,LOSS
2474,15,20,WIN
2474,18,13,LOSS
2474,8,8,LOSS
2474,18,7,LOSS
2474,19,18,LOSS
4637,11,12,WIN
4637,20,13,LOSS
4637,15,12,LOSS
4637,12,13,WIN
4637,5,19,WIN
4637,12,16,WIN
4637,7,21,WIN
4637,12,17,WIN
